Fund,Fund Manager,Category,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,classification
HDFC Nifty 1D Rate Liquid ETF,Swapnil Jangam,DT-ETF,0.52,0.47,0.51,0.5,0.53,0.45,0.44,0.5,0.4,0.5,Debt : ETFs
HDFC Nifty 50 ETF,Abhishek Mor,EQ-ETF,1.56,1.24,0.02,6.74,3.98,1.35,2.27,-6.12,-0.26,-2.02,Equity : ETFs
HDFC Nifty 50 Index Fund(G)(Post Addendum),Nirman Morakhia,EQ-INDX,1.56,1.2,-0.01,6.7,3.94,1.32,2.24,-6.15,-0.29,-2.05,Equity : Index Funds
HDFC NIFTY Bank ETF,Abhishek Mor,EQ-ETF,2.15,4.81,-0.32,6.91,-1.49,-0.18,3.15,-2.85,1.13,-2.32,Equity : ETFs
HDFC NIFTY G Sec Apr 2029 Index Fund Reg(G),Anupam Joshi,DT-M&LD,0.66,-0.01,1.13,0.64,1.24,0.77,0.96,0.15,0.71,0.49,Debt : Medium to Long Duration
HDFC Nifty G Sec Dec 2026 Index Fund Reg(G),Anupam Joshi,DT-GILT,0.58,0.29,0.89,0.59,0.85,0.65,0.74,0.43,0.51,0.53,Debt : Gilt
HDFC Nifty G Sec Jul 2031 Index Fund Reg(G),Anupam Joshi,DT-GILT,0.57,-0.17,1.45,0.64,1.25,0.89,1.31,-0.03,0.5,0.61,Debt : Gilt
HDFC Nifty G Sec Jun 2027 Index Fund Reg(G),Anupam Joshi,DT-GILT,0.58,0.19,0.92,0.69,0.96,0.71,0.75,0.34,0.65,0.44,Debt : Gilt
HDFC NIFTY G Sec Jun 2036 Index Fund Reg(G),Anupam Joshi,DT-LD,0.84,-0.46,1.78,0.75,1.04,1.11,1.34,-0.09,0.66,0.54,Debt : Long Duration
HDFC Nifty G Sec Sep 2032 Index Fund Reg(G),Anupam Joshi,DT-GILT,0.71,-0.2,1.43,0.54,1.26,0.9,1.44,-0.06,0.7,0.48,Debt : Gilt
HDFC NIFTY Growth Sectors 15 ETF,Abhishek Mor,EQ-ETF,-1.94,-2.45,-0.83,5.64,11.43,2.86,0.91,-8.65,1.96,-0.5,Equity : ETFs
HDFC NIFTY IT ETF,Abhishek Mor,EQ-ETF,-7.5,-4.88,-1.62,11.63,13.11,4.75,-1.99,-3.12,6.74,0.4,Equity : ETFs
HDFC Nifty LargeMidcap 250 Index Fund Reg(G),Nirman Morakhia,EQ-INDX,-,-,-,-,-,-,-,-,0.04,-0.61,Equity : Index Funds
HDFC NIFTY Midcap 150 ETF,Abhishek Mor,EQ-ETF,-0.35,6.32,2.2,7.96,5.02,0.36,1.76,-6.43,0.18,1.11,Equity : ETFs
HDFC NIFTY Midcap 150 Index Fund Reg(G),Nirman Morakhia,EQ-INDX,-0.42,6.24,2.12,7.84,4.93,0.3,1.7,-6.49,0.13,1.03,Equity : Index Funds
HDFC NIFTY Next 50 ETF,Abhishek Mor,EQ-ETF,2.8,7.04,4.11,5.97,4.65,0.78,2.35,-9.3,1.21,-3.78,Equity : ETFs
HDFC NIFTY Next 50 Index Fund Reg(G),Nirman Morakhia,EQ-INDX,2.81,6.98,3.99,5.78,4.56,0.73,2.3,-9.34,1.19,-4.05,Equity : Index Funds
HDFC NIFTY Private Bank ETF,Abhishek Mor,EQ-ETF,1.93,4.15,-0.95,7.73,-1.37,0.18,3.1,-4.85,0.41,-2.16,Equity : ETFs
HDFC Nifty PSU Bank ETF,Abhishek Mor,EQ-ETF,1.08,8.51,-2.36,-0.14,0.4,-5.57,-3.31,-0.48,1.28,-4.03,Equity : ETFs
HDFC NIFTY Realty Index Fund Reg(G),Nirman Morakhia,EQ-INDX,-,8,4.63,8.29,-0.95,-3.68,4.24,-9.07,1.97,3.07,Equity : Index Funds
HDFC Nifty SDL Oct 2026 Index Fund Reg(G),Anupam Joshi,DT-MD,0.55,0.46,0.77,0.69,0.82,0.7,0.71,0.58,0.43,0.51,Debt : Medium Duration
HDFC NIFTY SDL Plus G Sec Jun 2027 40:60 Index Fund Reg(G),Anupam Joshi,DT-MD,0.53,0.32,0.89,0.69,0.96,0.7,0.74,0.44,0.57,0.47,Debt : Medium Duration
HDFC NIFTY Smallcap 250 ETF,Abhishek Mor,EQ-ETF,-4.3,10.47,-1.28,9.54,4.99,1.35,1.19,-3.59,-0.18,0.2,Equity : ETFs
HDFC NIFTY Smallcap 250 Index Fund Reg(G),Nirman Morakhia,EQ-INDX,-4.36,10.34,-1.37,9.43,4.89,1.28,1.13,-3.64,-0.19,0.06,Equity : Index Funds
HDFC NIFTY100 Low Volatility 30 ETF,Abhishek Mor,EQ-ETF,0.83,-1.45,0.03,6.95,6.07,2.43,3.64,-8.02,-1.83,-0.8,Equity : ETFs
HDFC NIFTY100 Low Volatility 30 Index Fund Reg(G),Nirman Morakhia,EQ-INDX,-,-,-,-,-,2.37,3.57,-8.09,-1.87,-0.85,Equity : Index Funds
HDFC NIFTY100 Quality 30 ETF,Abhishek Mor,EQ-ETF,0.47,1.49,3.45,5.58,6.42,1.94,2.66,-8.45,-0.16,-3.09,Equity : ETFs
HDFC NIFTY200 Momentum 30 ETF,Abhishek Mor,EQ-ETF,2.72,5.81,4.88,3.33,4.94,0.48,1.3,-8.17,-0.75,-4.2,Equity : ETFs
HDFC NIFTY200 Momentum 30 Index Fund Reg(G),Nirman Morakhia,EQ-INDX,2.67,5.75,4.8,3.31,4.88,0.43,1.23,-8.21,-0.78,-4.39,Equity : Index Funds
HDFC NIFTY50 Equal Weight Index Fund Reg(G),Nirman Morakhia,EQ-INDX,1.5,1,0.24,6.29,5.58,1.82,2.61,-8.07,-2.44,-1.94,Equity : Index Funds
HDFC NIFTY50 Value 20 ETF,Abhishek Mor,EQ-ETF,-0.62,1.65,-0.5,6.39,8.51,1.65,0.57,-5.33,0.54,-1.93,Equity : ETFs
HDFC Nifty500 Multicap 50:25:25 Index Fund Reg(G),Nirman Morakhia,EQ-INDX,-,-,-,-,-,-,1.81,-5.93,-0.05,-0.85,Equity : Index Funds
HDFC Non Cyclical Consumer Fund Reg(G),Amit Sinha,EQ-CONS,-1.84,6.2,-0.88,5.8,6.35,5.89,4.95,-8.53,-0.25,0.53,Equity : Thematic - Consumption
HDFC Overnight Fund(G),Anil Bamboli,DT-ON,0.56,0.53,0.54,0.52,0.53,0.53,0.52,0.53,0.51,0.54,Debt : Overnight
HDFC Pharma and Healthcare Fund Reg(G),Nikhil Mathur,EQ-PHRM,-0.78,2.08,-0.43,5.02,11.79,7.32,2.54,0.91,1.14,3.38,Equity : Sectoral - Pharma
HDFC Retirement Savings Fund Equity Plan Reg(G),Srinivasan Ramamurthy,HY-SOL,1.05,3.03,1,6.37,4.1,1.72,1.55,-4.52,-0.6,-0.69,Hybrid : Solution Oriented
HDFC Retirement Savings Fund Hybrid Debt Plan Reg(G),Srinivasan Ramamurthy,HY-SOL,0.47,1.14,0.76,1.9,1.9,1.08,0.81,-0.84,0.03,-0.07,Hybrid : Solution Oriented
HDFC Retirement Savings Fund Hybrid Equity Plan Reg(G),Srinivasan Ramamurthy,HY-SOL,0.13,2.4,0.86,4.99,3.39,1.35,1.4,-3.01,-0.24,-1.13,Hybrid : Solution Oriented
HDFC Short Term Debt Fund(G),Anil Bamboli,DT-SD,0.71,0.38,0.84,0.55,0.91,0.71,0.83,0.55,0.54,0.55,Debt : Short Duration
HDFC Silver ETF,Bhagyesh Kagalkar,GOLD-ETF,7.38,5.13,18.7,-7.27,-4.01,2.4,5.27,7.58,-7.31,-3.87,Gold : ETFs
HDFC Silver ETF FoF Reg(G),Nirman Morakhia,GOLD-MF,5.84,8.72,14.67,-3.9,-5.82,1.84,5.51,7.38,-7.79,-3.86,Gold : MFs
HDFC Small Cap Fund Reg(G),Chirag Setalvad,EQ-SML,-2.51,7.07,-2.27,7.63,5.18,1.87,-0.06,-1.53,0.16,-0.57,Equity : Small Cap
HDFC Technology Fund Reg(G),Balakumar B,EQ-TECH,-4.18,-0.26,-1.8,9.95,11.7,6.28,-0.58,-3.47,5.45,0.64,Equity : Sectoral - Technology
HDFC Large Cap Fund(G),Rahul Baijal,EQ-LC,1.67,1.85,0.46,5.32,4.71,1.45,2.03,-6.52,-0.43,-2.05,Equity : Large Cap
HDFC Transportation and Logistics Fund Reg(G),Priya Ranjan,EQ-AUTO,4.07,6.15,3.5,8.9,4.49,-0.37,2.39,-10.71,0.63,-1.68,Equity : Sectoral - Auto
HDFC Ultra Short Term Fund Reg(G),Anil Bamboli,DT-USD,0.7,0.62,0.59,0.54,0.66,0.55,0.62,0.61,0.52,0.6,Debt : Ultra Short Duration
Helios Balanced Advantage Fund Reg(G),Alok Bahl,HY-DYN,-,3.16,0.48,3.91,1.38,0.63,0.63,-1.7,1.18,0.18,Hybrid : Dynamic Asset Allocation
Helios Financial Services Fund Reg(G),Alok Bahl,EQ-FIN,-,-,-,-,0.69,2.43,3.71,-0.73,0.65,-1.1,Equity : Sectoral - Financial Services
Helios Flexi Cap Fund Reg(G),Alok Bahl,EQ-FLEX,1.88,6.04,0.4,6.06,2.97,1.37,1.78,-3.21,2.24,0.42,Equity : Flexi Cap
Helios Large & Mid Cap Fund Reg(G),Alok Bahl,EQ-L&M,-,-,-,-,-,-,-,-,1.9,0.49,Equity : Large & Mid Cap
Helios Overnight Fund Reg(G),Alok Bahl,DT-ON,0.55,0.53,0.54,0.53,0.53,0.51,0.53,0.52,0.51,0.56,Debt : Overnight
HSBC Aggressive Hybrid Fund Reg(G),Cheenu Gupta,HY-EQ,1,5.36,2.38,5.8,3.78,-0.1,0.62,-3.34,1.87,0.99,Hybrid : Equity Oriented
HSBC Arbitrage Fund Reg(G),Praveen Ayathan,HY-ARB,0.58,0.65,0.58,0.59,0.59,0.53,0.51,0.58,0.47,0.61,Hybrid : Arbitrage
HSBC Asia Pacific (Ex Japan) DYF Reg(G),Sonal Gupta,FOF-OVR,2.88,0.89,3.47,3.72,-0.31,2.8,7.1,-3.93,-3.03,-0.1,FoFs : Overseas
HSBC Balanced Advantage Fund Reg(G),Neelotpal Sahai,HY-DYN,0.15,2.05,-1.04,4.98,3.35,0.68,0.56,-0.75,0.79,0.29,Hybrid : Dynamic Asset Allocation
HSBC Banking and PSU Debt Fund Reg(G),Mahesh Chhabria,DT-B&PSU,0.68,0.37,0.69,0.55,0.72,0.57,0.62,0.63,0.47,0.58,Debt : Banking & PSU
HSBC Brazil Fund(G),Sonal Gupta,FOF-OVR,0.56,-5.7,-5.13,-2.82,1.48,7.4,0.08,-6.38,-7.1,-6.97,FoFs : Overseas
HSBC Business Cycles Fund Reg(G),Gautam Bhupal,EQ-THEM,-0.81,8.97,2.59,7.92,3.22,1.78,2.2,-2.44,0.39,-0.8,Equity : Thematic
HSBC Conservative Hybrid Fund(G),Mahesh Chhabria,HY-DT(CO),0.85,1.9,2.17,2.31,1.84,0.79,0.92,-0.63,1.22,1.22,Hybrid : Debt Oriented (Conservative)
HSBC Consumption Fund Reg(G),Gautam Bhupal,EQ-CONS,0.3,5.65,-2.32,9.49,3.29,4.57,4.44,-4.86,1.65,1.27,Equity : Thematic - Consumption
HSBC Corporate Bond Fund Reg(G),Kapil Punjabi,DT-CORP,0.6,0.16,0.88,0.54,0.95,0.75,0.9,0.49,0.5,0.46,Debt : Corporate Bond
HSBC Credit Risk Fund Reg(G),Shriram Ramanathan,DT-CR,0.64,0.35,0.74,0.54,0.76,0.6,0.76,0.4,0.55,0.51,Debt : Credit Risk
HSBC CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund Reg(G),Kapil Punjabi,DT-M&LD,0.58,0.19,0.95,0.73,1.02,0.73,0.85,0.39,0.53,0.47,Debt : Medium to Long Duration
HSBC CRISIL IBX Gilt June 2027 Index Fund Reg(G),Kapil Punjabi,DT-MD,0.57,0.18,0.91,0.72,0.9,0.69,0.75,0.33,0.63,0.45,Debt : Medium Duration
HSBC Dynamic Bond Fund Reg(G),Mahesh Chhabria,DT-DYN,0.67,-0.33,1.5,0.68,0.92,0.92,1.45,-0.18,0.51,0.4,Debt : Dynamic Bond
HSBC ELSS Tax saver Fund Reg(G),Abhishek Gupta,EQ-ELSS,1.26,6.77,2.36,8.57,3.54,1.75,2.16,-4.71,1.95,0.59,Equity : Tax Saving (ELSS)
HSBC Equity Savings Fund Reg(G),Cheenu Gupta,HY-EQ,0.33,4.22,1.19,4.17,2.69,0.48,1.29,-1.22,1.9,2.95,Hybrid : Equity Oriented
HSBC Flexi Cap Fund Reg(G),Abhishek Gupta,EQ-FLEX,0.44,3.99,1.25,8.58,4.04,2,1.8,-4.41,1.75,-0.35,Equity : Flexi Cap
HSBC Focused Fund Reg(G),Neelotpal Sahai,EQ-MLC,-0.24,4.81,-2.98,6.79,4.78,3.42,1.57,-3.49,1.22,0.53,Equity : Multi Cap
HSBC Gilt Fund Reg(G),Shriram Ramanathan,DT-GILT,0.72,-0.59,1.62,0.77,0.81,0.89,1.5,-0.44,0.3,0.35,Debt : Gilt
HSBC Global Emerging Markets Fund(G),Sonal Gupta,FOF-OVR,5.61,0.12,0.81,6.31,-2.57,1.76,5.63,-3.55,-3.64,0.52,FoFs : Overseas
HSBC Global Equity Climate Change FoF Reg(G),Sonal Gupta,FOF-OVR,2.71,-2.52,3.36,-0.38,2.06,2.12,3.21,-5.16,1.63,-3.84,FoFs : Overseas
HSBC India Export Opportunities Fund Reg(G),Abhishek Gupta,EQ-THEM,-,-,-,-,-,-,-,-2.44,2.95,-0.19,Equity : Thematic
HSBC Infrastructure Fund Reg(G),Venugopal Manghat,EQ-INFRA,1.42,8.91,8.94,6.79,2.14,-0.81,0.6,-5.01,1.09,-2.83,Equity : Sectoral - Infrastructure
HSBC Large & Mid Cap Fund Reg(G),Cheenu Gupta,EQ-L&M,0.65,8.34,2.81,7.41,4.4,0.93,1.36,-4.38,2.87,2.95,Equity : Large & Mid Cap
HSBC Large Cap Fund(G),Neelotpal Sahai,EQ-LC,0.99,3.14,-1.33,6.95,4.73,2.33,1.7,-5.47,0.68,-1.02,Equity : Large Cap
HSBC Liquid Fund(G),Kapil Punjabi,DT-LIQ,0.65,0.61,0.6,0.56,0.6,0.58,0.59,0.59,0.56,0.58,Debt : Liquid
HSBC Low Duration Fund Reg(G),Shriram Ramanathan,DT-LOWD,0.72,0.61,0.6,0.59,0.67,0.54,0.64,0.63,0.51,0.55,Debt : Low Duration
HSBC Managed Solutions India Conservative(G),Gautam Bhupal,FOF-DOM,0.66,0.21,0.92,1.16,1.28,0.91,1.15,-0.43,0.52,0.3,FoFs : Domestic
HSBC Managed Solutions India Growth(G),Gautam Bhupal,FOF-DOM,0.23,3.64,-0.31,6.17,3.5,1.56,1.6,-3.68,0.77,-0.42,FoFs : Domestic
HSBC Managed Solutions India Moderate(G),Gautam Bhupal,FOF-DOM,0.28,2.9,-0.03,5.12,3,1.4,1.47,-2.95,0.72,-0.25,FoFs : Domestic
HSBC Medium Duration Fund Reg(G),Shriram Ramanathan,DT-MD,0.68,0.15,1.07,0.56,0.81,0.69,0.97,0.3,0.6,0.54,Debt : Medium Duration
HSBC Medium to Long Duration Fund Fund(G),Kapil Punjabi,DT-M&LD,0.61,-0.39,1.4,0.5,0.92,0.83,1.17,-0.2,0.49,0.36,Debt : Medium to Long Duration
HSBC Midcap Fund Reg(G),Cheenu Gupta,EQ-MID,0.62,6.57,2.68,8.17,4.56,1.51,2.49,-4.18,1.04,4.27,Equity : Mid Cap
HSBC Money Market Fund Reg(G),Kapil Punjabi,DT-MM,0.74,0.56,0.6,0.58,0.63,0.56,0.64,0.6,0.55,0.59,Debt : Money Market
HSBC Multi Asset Allocation Fund Reg(G),Cheenu Gupta,HY-MULTI,1.45,6.16,1.91,3.69,3.26,0.28,1.66,-2.79,1.97,2.31,Hybrid : Multi Asset Allocation
HSBC Multi Cap Fund Reg(G),Venugopal Manghat,EQ-MLC,-1.13,6.47,-0.03,8.26,3.99,2.16,0.27,-4.89,1.61,0.55,Equity : Multi Cap
HSBC Nifty 50 Index Fund Reg(G),Praveen Ayathan,EQ-INDX,1.52,1.2,-0.02,6.7,3.94,1.31,2.23,-6.15,-0.3,-2.06,Equity : Index Funds
HSBC Nifty Next 50 Index Fund Reg(G),Praveen Ayathan,EQ-INDX,2.73,6.97,4,5.85,4.58,0.71,2.28,-9.35,1.18,-3.96,Equity : Index Funds
HSBC Overnight Fund Reg(G),Kapil Punjabi,DT-ON,0.56,0.53,0.55,0.53,0.54,0.53,0.52,0.53,0.52,0.55,Debt : Overnight
HSBC Short Duration Fund Reg(G),Shriram Ramanathan,DT-SD,0.62,0.23,0.84,0.56,0.89,0.66,0.81,0.47,0.52,0.48,Debt : Short Duration
HSBC Small Cap Fund Reg(G),Venugopal Manghat,EQ-SML,-2.4,9.21,1.17,10.6,2.96,0.35,1.88,-2.61,1.33,0.35,Equity : Small Cap
HSBC Tax Saver Equity Fund(G),Gautam Bhupal,EQ-ELSS,-0.47,5.1,-0.65,8.05,3.84,3.24,2.21,-0.48,1.2,0.81,Equity : Tax Saving (ELSS)
HSBC Ultra Short Duration Fund Reg(G),Mahesh Chhabria,DT-USD,0.68,0.6,0.6,0.57,0.63,0.54,0.62,0.61,0.53,0.59,Debt : Ultra Short Duration
HSBC Value Fund Reg(G),Venugopal Manghat,EQ-VAL,-0.57,5.63,2.89,7.82,3.26,0.26,1.68,-4.12,0.21,-0.95,Equity : Value / Contra
ICICI Pru All Seasons Bond Fund(G),Manish Banthia,DT-DYN,0.76,0.01,1.16,0.52,0.91,0.77,0.93,0.4,0.69,0.5,Debt : Dynamic Bond
ICICI Pru Asset Allocator Fund(FOF)(G),Sankaran Naren,FOF-DOM,1.68,1.7,0.76,2.67,2.04,1.44,1.65,-1.45,0.11,-0.32,FoFs : Domestic
ICICI Pru Balanced Advantage Fund(G),Manish Banthia,HY-DYN,1.45,0.96,0.26,3.26,3.16,1.35,1.41,-2.66,-0.16,-0.36,Hybrid : Dynamic Asset Allocation
ICICI Pru Banking & Fin Serv Fund(G),Roshan Chutkey,EQ-FIN,1.7,3.38,-0.89,8.24,1.87,0.97,4.26,-3.5,-0.96,-1.88,Equity : Sectoral - Financial Services
ICICI Pru Banking & PSU Debt Fund(G),Manish Banthia,DT-B&PSU,0.72,0.34,0.83,0.54,0.86,0.59,0.56,0.67,0.59,0.6,Debt : Banking & PSU
ICICI Pru Bharat 22 FOF (G),Nishit Patel,FOF-DOM,0.42,6.28,2.17,1.66,8.41,-1.41,1.16,-5.72,-0.23,-5.06,FoFs : Domestic
ICICI Pru Bharat Consumption Fund(G),Sankaran Naren,EQ-CONS,1.92,1.92,0.57,5.41,6.5,2.57,4.78,-8.11,-1.26,-1.6,Equity : Thematic - Consumption
ICICI Pru Bluechip Fund(G),Anish Tawakley,EQ-LC,2.45,1.72,0.01,5.82,4.89,1.27,2.1,-5.43,-0.22,-2.04,Equity : Large Cap
ICICI Pru Bond Fund(G),Manish Banthia,DT-M&LD,0.78,-0.26,1.33,0.47,0.99,0.84,1.13,0.26,0.74,0.44,Debt : Medium to Long Duration
ICICI Pru BSE 500 ETF,Nishit Patel,EQ-ETF,0.83,3.41,0.81,7,4.4,0.94,2.05,-6.47,0.04,-1.53,Equity : ETFs
ICICI Pru BSE 500 ETF FOF Reg(G),Nishit Patel,FOF-DOM,1.33,3.38,1.4,6.44,4.17,0.61,2.43,-6.55,-0.1,-1.6,FoFs : Domestic
ICICI Pru BSE Liquid Rate ETF,Darshil Dedhia,DT-ETF,0.54,0.52,0.54,0.52,0.52,0.5,0.53,0.52,0.49,0.55,Debt : ETFs
ICICI Pru BSE Midcap Select ETF,Nishit Patel,EQ-ETF,0.37,5.3,0.91,9.75,5.34,2.31,0.78,-6.32,0.83,3.12,Equity : ETFs
ICICI Pru BSE Sensex ETF,Nishit Patel,EQ-ETF,1.59,1.13,-0.32,7.07,3.52,0.95,2.35,-5.7,0.56,-2.1,Equity : ETFs
ICICI Pru BSE Sensex Index Fund(G),Nishit Patel,EQ-INDX,1.64,1.1,-0.35,7.06,3.49,0.92,2.32,-5.72,0.54,-2.11,Equity : Index Funds
ICICI Pru Business Cycle Fund(G),Anish Tawakley,EQ-THEM,3.22,2.35,0.47,4.86,3.65,0.6,2.73,-4.61,-0.61,-2.41,Equity : Thematic
ICICI Pru Child Care Fund Gift Plan,Lalit Kumar,HY-SOL,1.5,4.64,1.09,4.86,3.47,0.08,2.32,-5.62,0.4,-1.11,Hybrid : Solution Oriented
ICICI Pru Commodities Fund(G),Lalit Kumar,EQ-THEM,0.98,7.29,0.78,6.29,0.42,-2.57,3.99,-7.62,-1.55,-2.82,Equity : Thematic
ICICI Pru Constant Maturity Gilt Fund(G),Manish Banthia,DT-GL10Y,0.74,-0.41,1.58,0.48,1.14,0.95,1.35,-0.09,0.9,0.48,Debt : Gilt (10 Yr Constant Duration)
ICICI Pru Corp Bond Fund(G),Manish Banthia,DT-CORP,0.75,0.42,0.8,0.54,0.87,0.65,0.69,0.64,0.6,0.54,Debt : Corporate Bond
ICICI Pru Credit Risk Fund(G),Manish Banthia,DT-CR,0.51,0.22,0.92,0.49,0.92,1.01,0.74,0.8,0.3,0.44,Debt : Credit Risk
ICICI Pru Debt Mgmt Fund(FOF)(G),Manish Banthia,FOF-DOM,0.86,0.27,0.99,0.49,0.86,0.7,0.82,0.46,0.65,0.49,FoFs : Domestic
ICICI Pru Dividend Yield Equity Fund(G),Mittul Kalawadia,EQ-DIV,1.97,3.23,0.5,5.38,6.59,1.18,2.49,-6.15,-1.67,-2.15,Equity : Thematic - Dividend Yield
ICICI Pru ELSS Tax Saver Fund(G),Mittul Kalawadia,EQ-ELSS,1.36,2.9,-1.79,6.97,5.43,2.74,3.31,-6.19,-0.87,-2.23,Equity : Tax Saving (ELSS)
ICICI Pru Energy Opportunities Fund Reg(G),Sankaran Naren,EQ-POWER,-,-,-,-,-,1.78,1.17,-5.49,-0.81,-2.36,Equity : Sectoral - Energy / Power
ICICI Pru Equity & Debt Fund(G),Sankaran Naren,HY-EQ,2.26,2.36,-0.2,4.24,4.61,1.44,2.22,-4.31,-1.18,-1.4,Hybrid : Equity Oriented
ICICI Pru Equity Savings Fund(G),Dharmesh Kakkad,HY-EQ,0.6,0.25,0.44,1.81,1.54,1.09,0.98,-0.42,0.33,0.14,Hybrid : Equity Oriented
ICICI Pru Equity Arbitrage Fund(G),Archana Nair,HY-ARB,0.65,0.67,0.56,0.63,0.6,0.61,0.46,0.66,0.53,0.6,Hybrid : Arbitrage
ICICI Pru ESG Exclusionary Strategy Fund(G),Mittul Kalawadia,EQ-THEM,-1.5,2.67,-0.21,7.45,6.39,4.24,3.62,-5.43,-1.46,-1.02,Equity : Thematic
ICICI Pru Exports & Services Fund(G),Sankaran Naren,EQ-THEM,1.84,2.73,0.21,7.16,5.52,2.11,3.19,-4.45,-2.11,-1.05,Equity : Thematic
ICICI Pru Flexicap Fund(G),Rajat Chandak,EQ-FLEX,2.74,1.86,0.43,7.27,5.53,2.09,3.04,-6.46,-0.33,-1.47,Equity : Flexi Cap
ICICI Pru Floating Interest Fund(G),Ritesh Lunawat,DT-FL,0.89,0.8,0.38,0.69,0.97,0.68,0.5,0.78,0.5,0.46,Debt : Floater
ICICI Pru FMCG Fund(G),Priyanka Khandelwal,EQ-CONS,0.68,0.64,1.03,4.85,8.1,2.1,3.2,-8.74,-2.47,-2.53,Equity : Thematic - Consumption
ICICI Pru Focused Equity Fund(G),Vaibhav Dusad,EQ-LC,3.63,2.24,1.42,7.28,5.52,2.25,2.64,-5.8,-0.91,-1.15,Equity : Large Cap
ICICI Pru Gilt Fund(G),Manish Banthia,DT-GILT,0.81,-0.25,1.35,0.45,0.92,0.81,0.93,0.26,0.72,0.45,Debt : Gilt
ICICI Pru Global Advantage Fund(FOF)(G),Sankaran Naren,FOF-OVR,1.9,0.69,4.7,0.62,1.98,2.19,8.47,-5.54,1.43,-0.14,FoFs : Overseas
ICICI Pru Global Stable Equity Fund(FOF)(G),Ritesh Lunawat,FOF-OVR,3.3,-3.64,-0.08,0,4.65,3.77,1.95,-3.22,1.74,-2.89,FoFs : Overseas
ICICI Pru Gold ETF,Gaurav Chikane,GOLD-ETF,8.02,6.41,0.78,-0.81,-3.5,3.71,4.58,5.37,-3.5,-0.67,Gold : ETFs
ICICI Pru Housing Opp Fund Reg(G),Anand Sharma,EQ-THEM,1.24,4.75,1.42,7.02,2.33,-0.76,3.64,-4.02,-1.06,-2.09,Equity : Thematic
ICICI Pru Income Optimizer Fund(FOF)(G),Dharmesh Kakkad,FOF-DOM,0.93,0.89,0.21,3.11,2.42,1.14,1.39,-0.41,0.17,0.16,FoFs : Domestic
ICICI Pru India Equity (FOF)(G),Dharmesh Kakkad,FOF-DOM,1.03,3.1,0.72,6.35,5.36,1.91,1.97,-5.15,0.11,-1.17,FoFs : Domestic
ICICI Pru India Opp Fund(G),Sankaran Naren,EQ-THEM,2.82,2.5,0.3,6.22,5.79,2.9,2.28,-5.23,-0.38,-1.56,Equity : Thematic
ICICI Pru Infrastructure Fund(G),Ihab Dalwai,EQ-INFRA,2.52,5.83,2.18,6.04,4.78,-1.04,3.15,-5.39,-1.42,-1.86,Equity : Sectoral - Infrastructure
ICICI Pru Innovation Fund Reg(G),Anish Tawakley,EQ-THEM,2.66,2.52,4.15,6.78,4.66,0.83,3.15,-6.21,0.11,-0.91,Equity : Thematic
ICICI Pru Large & Mid Cap Fund(G),Ihab Dalwai,EQ-L&M,2.07,3.81,0.78,6.04,5.88,1.54,2.69,-6.25,-1.17,-2.24,Equity : Large & Mid Cap
ICICI Pru Liquid Fund(G),Darshil Dedhia,DT-LIQ,0.65,0.62,0.6,0.57,0.61,0.58,0.58,0.58,0.56,0.58,Debt : Liquid
ICICI Pru Long Term Bond Fund(G),Manish Banthia,DT-LD,0.74,-0.3,1.43,0.61,0.96,0.97,1.4,0.09,0.73,0.44,Debt : Long Duration
ICICI Pru Manufacturing Fund(G),Anish Tawakley,EQ-THEM,3.09,4.34,4.7,7.11,3.38,-2.67,2.38,-6.44,-0.96,-3.12,Equity : Thematic
ICICI Pru Medium Term Bond Fund(G),Manish Banthia,DT-MD,0.71,0.18,0.95,0.5,0.87,0.72,0.86,0.52,0.64,0.51,Debt : Medium Duration
ICICI Pru Midcap Fund(G),Lalit Kumar,EQ-MID,0.89,5.57,4.71,8.03,3.21,-0.63,2.74,-6.4,0.81,-0.5,Equity : Mid Cap
ICICI Pru MNC Fund(G),Roshan Chutkey,EQ-MNC,1.34,2.73,3.28,5.63,6.37,0.91,2.17,-7.21,-0.53,-1.13,Equity : Thematic - MNC
ICICI Pru Money Market Fund(G),Manish Banthia,DT-MM,0.76,0.6,0.61,0.55,0.69,0.56,0.66,0.61,0.57,0.6,Debt : Money Market
ICICI Pru Multi Asset Fund(G),Sankaran Naren,HY-MULTI,2.67,2.99,0.5,3.43,2.96,1.23,2.49,-2.57,-1.03,-1.23,Hybrid : Multi Asset Allocation
ICICI Pru Multicap Fund(G),Sankaran Naren,EQ-MLC,0.73,3.87,0.32,7.05,6.21,1.65,2.08,-4.91,-0.87,-2.27,Equity : Multi Cap
ICICI Pru NASDAQ 100 Index Fund(G),Sharmila Dmello,EQ-INTL,1.72,-4.36,5.98,6.35,-1.36,1.27,2.36,-0.55,5.72,1.94,Equity : International
ICICI Pru Nifty 10 yr Benchmark G Sec ETF,Darshil Dedhia,DT-GL10Y,0.74,-0.49,1.79,0.36,1.17,0.95,1.34,-0.17,0.9,0.53,Debt : Gilt (10 Yr Constant Duration)
ICICI Pru Nifty 100 ETF,Nishit Patel,EQ-ETF,1.72,2.21,0.6,6.45,4.1,1.12,2.3,-6.76,-0.01,-2.26,Equity : ETFs
